date;Marilyn Manson;Taylor Swift;Damon Albarn;Munster;air travel;isPartial
2022-01-01;3;56;8;10;6;False
2022-01-02;0;55;6;0;11;False
2022-01-03;2;47;3;4;9;False
2022-01-04;5;45;3;4;9;False
2022-01-05;3;39;1;3;13;False
2022-01-06;3;38;2;3;11;False
2022-01-07;4;45;3;8;11;False
2022-01-08;4;56;2;32;12;False
2022-01-09;4;48;3;11;9;False
2022-01-10;4;46;4;5;17;False
2022-01-11;4;39;3;5;14;False
2022-01-12;4;41;2;3;12;False
2022-01-13;3;42;5;3;17;False
2022-01-14;4;38;3;17;14;False
2022-01-15;8;50;4;9;11;False
2022-01-16;2;54;3;7;12;False
2022-01-17;3;41;2;4;11;False
2022-01-18;3;42;3;4;10;False
2022-01-19;4;37;2;5;13;False
2022-01-20;3;42;5;7;9;False
2022-01-21;4;45;3;4;7;False
2022-01-22;6;51;3;7;9;False
2022-01-23;3;47;2;33;12;False
2022-01-24;28;64;19;14;17;False
2022-01-25;16;100;71;3;8;False
2022-01-26;7;64;17;6;11;False
2022-01-27;4;45;6;6;12;False
2022-01-28;4;65;7;6;9;False
2022-01-29;5;55;5;8;10;False
2022-01-30;7;47;3;4;12;False
2022-01-31;5;41;7;4;14;False
