date;Crown Prosecution Service;Private healthcare;Snakes;Brian May;air travel;isPartial
2022-01-01;0;8;57;35;16;False
2022-01-02;0;5;100;24;30;False
2022-01-03;7;11;68;14;24;False
2022-01-04;0;10;62;7;26;False
2022-01-05;0;17;65;6;37;False
2022-01-06;0;18;47;7;29;False
2022-01-07;0;24;86;17;30;False
2022-01-08;6;10;89;20;34;False
2022-01-09;0;12;85;12;26;False
2022-01-10;0;12;70;11;46;False
2022-01-11;6;15;55;10;37;False
2022-01-12;3;9;73;3;32;False
2022-01-13;3;19;57;5;48;False
2022-01-14;0;10;70;13;40;False
2022-01-15;0;6;83;39;31;False
2022-01-16;0;19;93;15;34;False
2022-01-17;0;8;71;8;31;False
2022-01-18;0;11;58;17;28;False
2022-01-19;6;14;71;8;35;False
2022-01-20;6;5;59;11;26;False
2022-01-21;0;8;86;17;18;False
2022-01-22;0;10;83;20;25;False
2022-01-23;0;7;91;10;33;False
2022-01-24;0;26;80;10;46;False
2022-01-25;3;16;67;7;23;False
2022-01-26;7;10;63;4;30;False
2022-01-27;0;11;59;6;34;False
2022-01-28;4;9;82;6;24;False
2022-01-29;7;10;81;13;29;False
2022-01-30;4;11;80;7;34;False
2022-01-31;5;19;78;4;39;False
