date;James Blunt;Emma Raducanu;Beto O'Rourke;Robert Pattinson;air travel;isPartial
2022-01-01;9;14;0;9;2;False
2022-01-02;11;7;0;9;5;False
2022-01-03;3;4;1;5;4;False
2022-01-04;4;5;0;6;4;False
2022-01-05;3;6;1;5;6;False
2022-01-06;3;5;0;4;5;False
2022-01-07;3;4;0;6;6;False
2022-01-08;14;5;0;6;5;False
2022-01-09;5;10;0;5;4;False
2022-01-10;1;9;0;5;7;False
2022-01-11;2;26;1;2;5;False
2022-01-12;3;7;0;4;6;False
2022-01-13;2;9;0;4;7;False
2022-01-14;3;7;0;4;6;False
2022-01-15;8;9;0;5;6;False
2022-01-16;5;10;0;5;6;False
2022-01-17;3;24;0;4;4;False
2022-01-18;2;100;0;4;5;False
2022-01-19;3;28;0;4;6;False
2022-01-20;2;95;0;5;3;False
2022-01-21;11;14;0;5;3;False
2022-01-22;11;12;0;8;4;False
2022-01-23;7;7;0;6;5;False
2022-01-24;6;13;0;4;6;False
2022-01-25;4;6;0;3;4;False
2022-01-26;5;3;0;4;5;False
2022-01-27;6;5;0;4;5;False
2022-01-28;4;5;0;4;4;False
2022-01-29;12;62;0;6;3;False
2022-01-30;11;18;0;5;6;False
2022-01-31;6;5;0;2;6;False
