date;Ivory Coast football team;Fiorentina;Francisco Franco;Indigenous child graves;air travel;isPartial
2022-01-01;0;2;3;0;13;False
2022-01-02;0;11;2;0;24;False
2022-01-03;0;8;0;0;20;False
2022-01-04;0;13;3;0;21;False
2022-01-05;0;16;0;0;30;False
2022-01-06;0;16;0;0;24;False
2022-01-07;2;15;0;0;25;False
2022-01-08;0;17;0;0;28;False
2022-01-09;4;16;0;0;22;False
2022-01-10;0;40;0;0;38;False
2022-01-11;5;12;4;0;31;False
2022-01-12;0;19;0;0;26;False
2022-01-13;3;91;2;0;39;False
2022-01-14;0;26;0;0;33;False
2022-01-15;0;19;0;0;26;False
2022-01-16;7;11;0;0;28;False
2022-01-17;0;100;0;0;25;False
2022-01-18;0;24;2;0;23;False
2022-01-19;0;8;2;0;29;False
2022-01-20;6;11;0;0;21;False
2022-01-21;0;10;0;0;15;False
2022-01-22;0;19;0;0;21;False
2022-01-23;4;45;0;0;27;False
2022-01-24;3;12;0;0;38;False
2022-01-25;4;23;2;0;19;False
2022-01-26;6;9;0;0;25;False
2022-01-27;2;10;0;0;28;False
2022-01-28;0;15;0;0;19;False
2022-01-29;4;17;0;0;23;False
2022-01-30;0;7;2;0;28;False
2022-01-31;0;7;0;0;32;False
