date;University of Glasgow;Tony Harrison;David Mamet;Royal Lyceum theatre;air travel;isPartial
2022-01-01;34;0;0;0;34;False
2022-01-02;42;0;0;0;63;False
2022-01-03;30;0;0;0;51;False
2022-01-04;43;0;0;0;54;False
2022-01-05;78;0;0;0;77;False
2022-01-06;44;0;9;9;61;False
2022-01-07;57;0;0;0;63;False
2022-01-08;25;0;0;0;71;False
2022-01-09;59;4;0;7;55;False
2022-01-10;94;0;0;0;97;False
2022-01-11;64;0;5;0;79;False
2022-01-12;77;0;7;0;67;False
2022-01-13;55;0;0;15;100;False
2022-01-14;45;0;10;0;84;False
2022-01-15;43;0;23;0;66;False
2022-01-16;36;0;13;0;72;False
2022-01-17;76;0;0;5;65;False
2022-01-18;62;6;0;0;59;False
2022-01-19;54;0;7;0;74;False
2022-01-20;81;0;0;0;54;False
2022-01-21;44;0;0;6;38;False
2022-01-22;38;0;0;0;53;False
2022-01-23;36;15;0;0;69;False
2022-01-24;72;13;4;0;97;False
2022-01-25;81;0;21;0;49;False
2022-01-26;56;0;0;0;64;False
2022-01-27;51;0;0;0;71;False
2022-01-28;59;7;0;4;49;False
2022-01-29;25;6;0;0;60;False
2022-01-30;19;0;0;0;71;False
2022-01-31;37;0;0;0;82;False
