date;Economic policy;Pablo Picasso;Photography;Switzerland;air travel;isPartial
2022-01-01;1;0;60;53;4;False
2022-01-02;0;3;70;69;8;False
2022-01-03;0;2;79;53;7;False
2022-01-04;1;3;81;58;7;False
2022-01-05;0;2;75;61;10;False
2022-01-06;2;2;84;72;8;False
2022-01-07;2;4;84;57;8;False
2022-01-08;0;3;78;58;9;False
2022-01-09;0;3;82;66;7;False
2022-01-10;0;2;93;66;13;False
2022-01-11;1;9;85;61;10;False
2022-01-12;1;2;85;56;9;False
2022-01-13;0;4;88;59;13;False
2022-01-14;3;1;72;53;11;False
2022-01-15;0;0;85;53;9;False
2022-01-16;0;3;81;62;9;False
2022-01-17;2;2;96;63;8;False
2022-01-18;1;3;88;51;8;False
2022-01-19;2;0;79;61;10;False
2022-01-20;1;2;77;53;7;False
2022-01-21;1;4;80;55;5;False
2022-01-22;0;1;76;52;7;False
2022-01-23;0;2;80;60;9;False
2022-01-24;2;3;100;73;13;False
2022-01-25;1;1;91;56;6;False
2022-01-26;1;1;78;56;8;False
2022-01-27;1;1;83;49;9;False
2022-01-28;1;2;78;54;6;False
2022-01-29;2;2;74;49;8;False
2022-01-30;1;1;83;55;9;False
2022-01-31;0;3;83;55;11;False
