date;Amber Rudd;New Year honours list;Hillsborough disaster;Chester;air travel;isPartial
2022-01-01;0;23;5;86;2;False
2022-01-02;0;6;49;92;4;False
2022-01-03;1;3;51;86;3;False
2022-01-04;0;1;49;85;4;False
2022-01-05;1;0;44;74;5;False
2022-01-06;2;1;34;78;4;False
2022-01-07;1;0;25;87;4;False
2022-01-08;1;0;15;91;5;False
2022-01-09;1;0;20;90;4;False
2022-01-10;1;0;15;100;6;False
2022-01-11;0;0;10;88;5;False
2022-01-12;0;0;6;75;4;False
2022-01-13;1;0;8;81;7;False
2022-01-14;0;2;5;84;5;False
2022-01-15;0;0;5;93;4;False
2022-01-16;0;0;5;89;5;False
2022-01-17;0;0;4;81;4;False
2022-01-18;0;0;4;77;4;False
2022-01-19;0;0;3;74;5;False
2022-01-20;1;0;3;82;4;False
2022-01-21;0;0;3;79;2;False
2022-01-22;0;0;4;91;3;False
2022-01-23;0;0;3;83;4;False
2022-01-24;0;0;3;87;6;False
2022-01-25;0;0;2;77;3;False
2022-01-26;0;0;3;79;4;False
2022-01-27;0;0;2;77;5;False
2022-01-28;0;0;3;85;3;False
2022-01-29;0;0;2;97;4;False
2022-01-30;0;0;2;84;5;False
2022-01-31;1;0;2;82;5;False
