date;fake news;artemis;human spaceflight;the moon;air travel;isPartial
2022-01-01;2;3;0;32;2;False
2022-01-02;1;5;0;35;4;False
2022-01-03;1;3;0;30;4;False
2022-01-04;1;4;0;29;3;False
2022-01-05;2;3;0;37;5;False
2022-01-06;2;3;0;33;4;False
2022-01-07;1;4;0;31;4;False
2022-01-08;1;4;0;34;4;False
2022-01-09;1;4;0;41;3;False
2022-01-10;2;3;0;31;7;False
2022-01-11;1;3;0;34;4;False
2022-01-12;2;4;0;43;5;False
2022-01-13;2;5;0;39;5;False
2022-01-14;1;3;0;34;5;False
2022-01-15;1;4;0;38;5;False
2022-01-16;2;5;0;65;6;False
2022-01-17;2;2;0;100;3;False
2022-01-18;2;3;0;89;4;False
2022-01-19;1;3;0;91;5;False
2022-01-20;2;4;0;89;3;False
2022-01-21;1;4;0;77;2;False
2022-01-22;1;3;0;74;4;False
2022-01-23;2;3;0;69;4;False
2022-01-24;1;4;0;44;6;False
2022-01-25;2;4;0;39;3;False
2022-01-26;2;3;0;42;4;False
2022-01-27;2;3;0;41;4;False
2022-01-28;1;4;0;40;3;False
2022-01-29;1;3;0;42;4;False
2022-01-30;1;4;0;39;5;False
2022-01-31;2;4;0;39;6;False
