date;Welsh National Opera;Bernie Sanders;Australian food and drink;Defamation law;air travel;isPartial
2022-01-01;0;24;0;0;34;False
2022-01-02;0;17;0;0;63;False
2022-01-03;0;0;0;0;51;False
2022-01-04;0;7;0;0;54;False
2022-01-05;0;10;0;0;77;False
2022-01-06;8;10;0;14;61;False
2022-01-07;17;7;0;0;63;False
2022-01-08;8;0;0;0;71;False
2022-01-09;6;0;0;5;55;False
2022-01-10;0;30;8;26;97;False
2022-01-11;6;11;0;0;79;False
2022-01-12;7;0;0;0;67;False
2022-01-13;6;21;0;12;100;False
2022-01-14;0;16;0;0;84;False
2022-01-15;0;5;0;0;66;False
2022-01-16;6;6;0;0;72;False
2022-01-17;0;12;0;0;65;False
2022-01-18;0;9;0;0;59;False
2022-01-19;0;11;0;0;74;False
2022-01-20;0;13;0;0;54;False
2022-01-21;0;12;0;11;38;False
2022-01-22;0;9;0;0;53;False
2022-01-23;0;9;0;0;69;False
2022-01-24;0;9;0;0;97;False
2022-01-25;0;17;0;0;49;False
2022-01-26;0;0;0;0;64;False
2022-01-27;0;9;0;0;71;False
2022-01-28;0;0;0;0;49;False
2022-01-29;0;11;0;13;60;False
2022-01-30;0;9;8;0;71;False
2022-01-31;7;19;0;5;82;False
