date;neil young;spotify;holocaust;robots;air travel;isPartial
2022-01-01;2;53;2;4;2;False
2022-01-02;2;63;2;4;3;False
2022-01-03;1;57;1;4;3;False
2022-01-04;2;63;3;5;3;False
2022-01-05;2;57;4;3;4;False
2022-01-06;1;58;2;4;3;False
2022-01-07;1;63;3;5;3;False
2022-01-08;2;64;1;5;4;False
2022-01-09;2;61;2;4;3;False
2022-01-10;1;65;4;5;5;False
2022-01-11;1;59;4;4;4;False
2022-01-12;2;58;5;5;3;False
2022-01-13;2;63;5;6;5;False
2022-01-14;1;61;5;5;4;False
2022-01-15;2;61;4;5;3;False
2022-01-16;1;61;5;5;4;False
2022-01-17;1;65;6;4;3;False
2022-01-18;1;62;6;4;3;False
2022-01-19;1;53;7;4;4;False
2022-01-20;2;53;6;4;3;False
2022-01-21;2;69;6;5;2;False
2022-01-22;2;72;4;4;3;False
2022-01-23;1;63;8;5;3;False
2022-01-24;1;72;9;4;5;False
2022-01-25;10;68;9;4;2;False
2022-01-26;9;70;19;4;3;False
2022-01-27;37;77;82;4;4;False
2022-01-28;18;77;26;5;2;False
2022-01-29;26;100;10;5;3;False
2022-01-30;18;87;10;4;4;False
2022-01-31;14;86;8;5;4;False
