date;Awards and prizes;Norway;The far right;Cancer;air travel;isPartial
2022-01-01;0;15;0;68;1;False
2022-01-02;0;19;0;72;2;False
2022-01-03;1;14;0;97;2;False
2022-01-04;0;12;0;82;2;False
2022-01-05;0;14;0;90;3;False
2022-01-06;0;14;0;89;2;False
2022-01-07;0;11;0;82;2;False
2022-01-08;0;14;0;79;3;False
2022-01-09;0;16;0;81;2;False
2022-01-10;0;13;0;91;4;False
2022-01-11;0;14;0;88;3;False
2022-01-12;1;13;0;84;3;False
2022-01-13;0;15;0;96;4;False
2022-01-14;0;14;0;81;3;False
2022-01-15;0;14;0;84;3;False
2022-01-16;0;13;0;87;3;False
2022-01-17;0;14;0;92;2;False
2022-01-18;0;11;0;85;2;False
2022-01-19;0;12;0;80;3;False
2022-01-20;0;12;0;84;2;False
2022-01-21;0;12;0;80;1;False
2022-01-22;0;13;0;76;2;False
2022-01-23;0;17;0;81;3;False
2022-01-24;0;16;0;100;4;False
2022-01-25;0;11;0;81;2;False
2022-01-26;0;12;0;84;2;False
2022-01-27;0;13;0;80;3;False
2022-01-28;0;13;0;80;2;False
2022-01-29;0;12;0;78;2;False
2022-01-30;0;12;0;74;3;False
2022-01-31;0;12;0;84;3;False
