date;Crowdfunding;John Bishop;Food waste;Game;air travel;isPartial
2022-01-01;0;1;0;91;0;False
2022-01-02;0;0;0;100;1;False
2022-01-03;0;0;0;73;1;False
2022-01-04;0;0;1;68;1;False
2022-01-05;0;0;0;62;1;False
2022-01-06;0;0;1;59;1;False
2022-01-07;0;0;0;67;1;False
2022-01-08;0;4;0;89;1;False
2022-01-09;0;5;1;85;1;False
2022-01-10;0;1;1;70;1;False
2022-01-11;0;1;1;75;1;False
2022-01-12;1;1;0;78;1;False
2022-01-13;0;0;0;79;1;False
2022-01-14;0;0;0;70;1;False
2022-01-15;0;2;0;96;1;False
2022-01-16;0;1;1;92;1;False
2022-01-17;0;0;0;67;1;False
2022-01-18;0;0;0;71;1;False
2022-01-19;0;0;0;67;1;False
2022-01-20;0;0;1;70;1;False
2022-01-21;0;0;0;73;0;False
2022-01-22;0;1;0;95;1;False
2022-01-23;0;1;0;91;1;False
2022-01-24;0;1;1;76;1;False
2022-01-25;0;0;0;65;1;False
2022-01-26;0;1;0;70;1;False
2022-01-27;0;0;0;61;1;False
2022-01-28;0;0;0;71;1;False
2022-01-29;0;2;0;86;1;False
2022-01-30;0;0;0;78;1;False
2022-01-31;0;0;0;65;1;False
