date;Evangelical Christianity;Ian McKellen;Arts funding;David Cameron;air travel;isPartial
2022-01-01;0;57;0;39;34;False
2022-01-02;0;52;0;33;63;False
2022-01-03;6;29;6;42;51;False
2022-01-04;0;16;12;39;54;False
2022-01-05;0;29;0;33;77;False
2022-01-06;0;33;0;15;61;False
2022-01-07;0;30;9;20;63;False
2022-01-08;0;52;5;33;71;False
2022-01-09;0;37;0;28;55;False
2022-01-10;0;26;15;17;97;False
2022-01-11;0;11;4;38;79;False
2022-01-12;0;26;17;49;67;False
2022-01-13;0;29;10;61;100;False
2022-01-14;0;33;12;42;84;False
2022-01-15;0;44;0;39;66;False
2022-01-16;0;27;21;40;72;False
2022-01-17;0;32;17;15;65;False
2022-01-18;0;17;23;40;59;False
2022-01-19;0;17;0;58;74;False
2022-01-20;0;25;0;49;54;False
2022-01-21;0;27;0;18;38;False
2022-01-22;0;42;8;42;53;False
2022-01-23;0;24;6;22;69;False
2022-01-24;0;20;8;82;97;False
2022-01-25;0;27;0;77;49;False
2022-01-26;0;10;0;42;64;False
2022-01-27;5;15;7;34;71;False
2022-01-28;0;21;5;47;49;False
2022-01-29;0;49;0;34;60;False
2022-01-30;0;17;0;28;71;False
2022-01-31;0;16;10;37;82;False
