date;GM;Kim Jong-il;Mean Girls;Spiders;air travel;isPartial
2022-01-01;40;4;36;41;13;False
2022-01-02;51;0;34;54;24;False
2022-01-03;61;0;27;45;20;False
2022-01-04;91;0;26;39;21;False
2022-01-05;83;2;31;50;30;False
2022-01-06;72;5;23;37;24;False
2022-01-07;60;0;32;38;25;False
2022-01-08;50;0;47;80;28;False
2022-01-09;60;2;26;42;21;False
2022-01-10;81;0;30;46;38;False
2022-01-11;79;2;18;39;31;False
2022-01-12;73;3;18;37;26;False
2022-01-13;75;0;22;40;39;False
2022-01-14;75;0;32;44;33;False
2022-01-15;67;4;31;46;26;False
2022-01-16;69;0;30;50;28;False
2022-01-17;94;0;16;27;25;False
2022-01-18;84;0;17;31;23;False
2022-01-19;78;0;19;41;29;False
2022-01-20;79;0;19;34;21;False
2022-01-21;89;0;21;45;15;False
2022-01-22;78;2;28;46;21;False
2022-01-23;68;0;28;57;27;False
2022-01-24;100;3;33;45;38;False
2022-01-25;83;0;16;29;19;False
2022-01-26;88;3;22;42;25;False
2022-01-27;90;0;14;33;28;False
2022-01-28;84;2;30;41;19;False
2022-01-29;64;0;43;49;23;False
2022-01-30;58;0;25;47;28;False
2022-01-31;78;2;21;41;32;False
