date;republic of ireland;microsoft;gaza;energy;air travel;isPartial
2022-01-01;1;27;0;31;1;False
2022-01-02;1;30;1;41;1;False
2022-01-03;1;37;0;45;1;False
2022-01-04;1;55;1;66;1;False
2022-01-05;1;56;1;75;2;False
2022-01-06;1;50;0;68;1;False
2022-01-07;1;45;0;70;1;False
2022-01-08;1;31;0;46;2;False
2022-01-09;1;32;0;49;1;False
2022-01-10;2;56;0;74;2;False
2022-01-11;1;51;0;76;2;False
2022-01-12;1;52;0;75;2;False
2022-01-13;1;57;1;73;2;False
2022-01-14;1;46;0;57;2;False
2022-01-15;0;31;0;48;2;False
2022-01-16;1;36;1;54;2;False
2022-01-17;2;54;0;82;2;False
2022-01-18;1;89;1;78;1;False
2022-01-19;1;62;0;68;2;False
2022-01-20;1;53;0;69;1;False
2022-01-21;1;49;0;69;1;False
2022-01-22;1;32;0;46;1;False
2022-01-23;1;34;0;45;2;False
2022-01-24;1;61;0;100;2;False
2022-01-25;1;54;0;72;1;False
2022-01-26;1;55;0;72;1;False
2022-01-27;1;49;0;66;2;False
2022-01-28;0;50;0;62;1;False
2022-01-29;1;30;0;45;1;False
2022-01-30;1;32;1;46;2;False
2022-01-31;1;54;0;74;2;False
