date;the royal family and the media;shielding;genetic engineering;christianity;air travel;isPartial
2022-01-01;0;15;0;26;33;False
2022-01-02;0;12;0;71;62;False
2022-01-03;0;12;0;72;48;False
2022-01-04;0;0;0;58;50;False
2022-01-05;0;6;12;58;71;False
2022-01-06;0;11;0;80;56;False
2022-01-07;0;11;4;71;54;False
2022-01-08;0;16;17;53;66;False
2022-01-09;0;22;11;100;41;False
2022-01-10;0;20;20;90;84;False
2022-01-11;0;13;11;88;59;False
2022-01-12;0;13;9;78;68;False
2022-01-13;0;16;0;79;78;False
2022-01-14;0;17;9;80;68;False
2022-01-15;0;17;0;62;66;False
2022-01-16;0;0;0;87;78;False
2022-01-17;0;5;11;85;48;False
2022-01-18;0;11;14;67;43;False
2022-01-19;0;14;22;90;66;False
2022-01-20;0;18;0;70;44;False
2022-01-21;0;15;14;62;43;False
2022-01-22;0;9;10;49;38;False
2022-01-23;0;6;9;70;67;False
2022-01-24;0;15;22;92;76;False
2022-01-25;0;25;17;85;46;False
2022-01-26;0;10;8;52;60;False
2022-01-27;0;17;10;58;56;False
2022-01-28;0;10;0;88;58;False
2022-01-29;0;0;5;56;46;False
2022-01-30;0;10;7;67;61;False
2022-01-31;0;8;13;79;73;False
