date;travel & leisure industry;vietnam;dating;sign language;air travel;isPartial
2022-01-01;0;21;91;7;3;False
2022-01-02;0;23;100;7;6;False
2022-01-03;0;21;89;7;5;False
2022-01-04;0;18;77;7;5;False
2022-01-05;0;19;71;7;7;False
2022-01-06;0;18;71;11;6;False
2022-01-07;0;18;73;5;5;False
2022-01-08;0;18;83;6;6;False
2022-01-09;0;21;87;7;4;False
2022-01-10;0;20;73;9;8;False
2022-01-11;0;21;73;10;6;False
2022-01-12;0;16;77;10;7;False
2022-01-13;0;20;68;7;8;False
2022-01-14;0;16;67;6;7;False
2022-01-15;0;20;79;7;7;False
2022-01-16;0;22;95;8;8;False
2022-01-17;0;15;82;7;5;False
2022-01-18;0;16;84;8;4;False
2022-01-19;0;15;81;7;6;False
2022-01-20;0;15;82;7;4;False
2022-01-21;0;17;78;6;4;False
2022-01-22;0;22;87;7;4;False
2022-01-23;0;22;92;7;7;False
2022-01-24;0;26;89;7;8;False
2022-01-25;0;21;76;8;5;False
2022-01-26;0;19;80;11;6;False
2022-01-27;0;24;78;10;5;False
2022-01-28;0;20;75;22;6;False
2022-01-29;0;21;85;12;5;False
2022-01-30;0;23;89;9;6;False
2022-01-31;0;20;86;9;7;False
