date;Olympic Games;Antibiotics;Farm animals;Lin-Manuel Miranda;air travel;isPartial
2022-01-01;7;71;6;4;7;False
2022-01-02;3;73;5;0;14;False
2022-01-03;7;74;6;2;11;False
2022-01-04;4;90;5;2;12;False
2022-01-05;4;100;6;0;17;False
2022-01-06;8;96;6;3;13;False
2022-01-07;1;86;2;0;14;False
2022-01-08;5;77;7;0;15;False
2022-01-09;4;70;7;5;12;False
2022-01-10;4;88;7;0;21;False
2022-01-11;4;81;4;2;17;False
2022-01-12;7;80;3;3;15;False
2022-01-13;4;90;9;4;22;False
2022-01-14;6;81;5;0;18;False
2022-01-15;2;76;5;5;14;False
2022-01-16;5;63;8;0;16;False
2022-01-17;5;88;3;2;14;False
2022-01-18;5;74;6;0;13;False
2022-01-19;3;71;4;2;16;False
2022-01-20;7;74;4;0;12;False
2022-01-21;5;70;3;3;8;False
2022-01-22;5;68;4;3;12;False
2022-01-23;5;64;5;3;15;False
2022-01-24;9;93;6;4;21;False
2022-01-25;5;78;5;3;11;False
2022-01-26;5;84;5;0;14;False
2022-01-27;6;79;4;0;16;False
2022-01-28;6;83;3;2;11;False
2022-01-29;7;72;13;2;13;False
2022-01-30;8;67;10;1;16;False
2022-01-31;6;80;4;0;18;False
