date;Whales;Fishing;Cetaceans;Independent Office for Police Conduct;air travel;isPartial
2022-01-01;6;84;0;2;3;False
2022-01-02;8;100;0;0;6;False
2022-01-03;6;89;0;0;5;False
2022-01-04;4;79;1;0;5;False
2022-01-05;5;71;0;0;7;False
2022-01-06;4;72;0;0;6;False
2022-01-07;6;75;0;0;6;False
2022-01-08;6;88;0;0;7;False
2022-01-09;7;94;0;0;5;False
2022-01-10;8;76;0;0;9;False
2022-01-11;8;74;0;0;7;False
2022-01-12;7;70;0;0;6;False
2022-01-13;9;80;0;0;9;False
2022-01-14;5;68;1;0;8;False
2022-01-15;5;84;0;1;6;False
2022-01-16;6;100;0;0;7;False
2022-01-17;6;73;0;0;6;False
2022-01-18;3;72;0;1;5;False
2022-01-19;7;68;0;0;7;False
2022-01-20;5;71;0;0;5;False
2022-01-21;6;68;0;0;3;False
2022-01-22;7;78;0;0;5;False
2022-01-23;6;87;0;0;6;False
2022-01-24;7;78;0;0;9;False
2022-01-25;5;66;0;0;5;False
2022-01-26;6;69;0;0;6;False
2022-01-27;7;66;1;0;7;False
2022-01-28;5;71;0;0;5;False
2022-01-29;6;84;1;0;6;False
2022-01-30;7;78;0;0;7;False
2022-01-31;7;69;0;0;8;False
