date;Heart attack;Claudia Karvan;Bangladesh;The RIBA;air travel;isPartial
2022-01-01;41;0;70;1;7;False
2022-01-02;37;0;62;0;12;False
2022-01-03;34;0;77;0;10;False
2022-01-04;33;0;100;0;10;False
2022-01-05;49;0;67;0;15;False
2022-01-06;36;1;45;0;12;False
2022-01-07;34;0;46;1;12;False
2022-01-08;46;0;56;0;14;False
2022-01-09;46;1;70;1;11;False
2022-01-10;41;0;78;1;19;False
2022-01-11;40;0;64;0;15;False
2022-01-12;34;0;42;0;13;False
2022-01-13;36;0;58;0;19;False
2022-01-14;28;0;47;0;16;False
2022-01-15;36;0;41;2;13;False
2022-01-16;38;0;55;1;14;False
2022-01-17;39;0;47;0;13;False
2022-01-18;32;1;43;0;11;False
2022-01-19;38;1;37;0;14;False
2022-01-20;31;0;47;0;10;False
2022-01-21;38;0;50;2;7;False
2022-01-22;37;0;44;0;10;False
2022-01-23;31;0;41;1;13;False
2022-01-24;41;0;47;0;19;False
2022-01-25;37;0;48;0;10;False
2022-01-26;38;0;48;0;12;False
2022-01-27;30;0;46;0;14;False
2022-01-28;28;1;54;0;10;False
2022-01-29;62;0;47;0;12;False
2022-01-30;63;0;47;2;14;False
2022-01-31;41;0;55;2;16;False
