date;mi5;uk parliament;havana;geneva;air travel;isPartial
2022-01-01;12;3;24;26;8;False
2022-01-02;13;6;17;38;14;False
2022-01-03;13;9;8;42;12;False
2022-01-04;9;9;9;36;12;False
2022-01-05;8;17;15;39;18;False
2022-01-06;9;9;12;40;14;False
2022-01-07;10;7;9;34;14;False
2022-01-08;6;5;15;35;16;False
2022-01-09;8;8;17;47;13;False
2022-01-10;5;9;17;53;22;False
2022-01-11;7;13;11;40;18;False
2022-01-12;8;14;13;48;15;False
2022-01-13;100;24;36;82;23;False
2022-01-14;12;11;21;60;19;False
2022-01-15;16;8;23;61;15;False
2022-01-16;13;16;19;68;16;False
2022-01-17;9;15;16;64;15;False
2022-01-18;17;13;14;45;13;False
2022-01-19;11;16;15;44;17;False
2022-01-20;12;11;19;58;12;False
2022-01-21;7;10;20;46;9;False
2022-01-22;12;4;25;46;12;False
2022-01-23;15;9;19;60;16;False
2022-01-24;15;11;23;73;22;False
2022-01-25;8;11;15;54;11;False
2022-01-26;6;10;18;48;15;False
2022-01-27;9;6;14;50;16;False
2022-01-28;12;9;14;47;11;False
2022-01-29;14;4;21;52;14;False
2022-01-30;6;6;18;52;16;False
2022-01-31;8;18;10;48;19;False
