date;Burnley;Wolfsburg;Alcohol;Brexit;air travel;isPartial
2022-01-01;35;0;90;15;2;False
2022-01-02;79;1;75;13;3;False
2022-01-03;32;0;66;14;2;False
2022-01-04;25;1;61;15;2;False
2022-01-05;26;0;58;16;4;False
2022-01-06;25;1;56;16;3;False
2022-01-07;28;0;70;16;3;False
2022-01-08;46;0;74;14;3;False
2022-01-09;25;2;67;14;3;False
2022-01-10;27;1;59;15;4;False
2022-01-11;33;0;52;14;4;False
2022-01-12;35;0;54;15;3;False
2022-01-13;38;0;63;17;5;False
2022-01-14;40;0;59;14;4;False
2022-01-15;38;1;71;14;3;False
2022-01-16;30;0;76;13;3;False
2022-01-17;38;0;65;15;3;False
2022-01-18;33;0;54;14;3;False
2022-01-19;25;1;52;15;3;False
2022-01-20;28;1;53;14;2;False
2022-01-21;35;0;62;13;2;False
2022-01-22;38;0;67;12;2;False
2022-01-23;100;1;58;12;3;False
2022-01-24;36;0;63;17;4;False
2022-01-25;27;1;48;14;2;False
2022-01-26;29;1;51;15;3;False
2022-01-27;28;0;54;13;3;False
2022-01-28;33;0;67;12;2;False
2022-01-29;35;0;65;11;3;False
2022-01-30;30;1;61;12;3;False
2022-01-31;36;1;55;19;4;False
