date;Boston;Malaysia;Xbox;PlayStation;air travel;isPartial
2022-01-01;17;5;91;26;1;False
2022-01-02;18;6;100;28;2;False
2022-01-03;15;5;81;25;1;False
2022-01-04;16;5;76;21;1;False
2022-01-05;17;6;67;22;2;False
2022-01-06;16;6;61;23;2;False
2022-01-07;17;5;64;21;2;False
2022-01-08;18;5;86;27;2;False
2022-01-09;17;5;77;23;2;False
2022-01-10;18;5;56;21;3;False
2022-01-11;16;5;53;18;2;False
2022-01-12;15;5;53;18;2;False
2022-01-13;16;6;61;19;3;False
2022-01-14;15;4;58;18;2;False
2022-01-15;18;6;77;22;2;False
2022-01-16;16;5;74;22;2;False
2022-01-17;16;6;50;19;2;False
2022-01-18;15;5;63;20;2;False
2022-01-19;16;5;53;18;2;False
2022-01-20;14;5;54;22;1;False
2022-01-21;17;5;58;23;1;False
2022-01-22;16;5;75;24;1;False
2022-01-23;18;6;73;22;2;False
2022-01-24;18;7;62;20;3;False
2022-01-25;15;6;51;19;1;False
2022-01-26;16;6;50;17;2;False
2022-01-27;14;4;49;16;2;False
2022-01-28;17;5;55;19;1;False
2022-01-29;23;4;70;23;2;False
2022-01-30;19;4;67;19;2;False
2022-01-31;17;5;54;18;2;False
