date;dave;surrey;houses of parliament;hiv;air travel;isPartial
2022-01-01;59;71;3;14;3;False
2022-01-02;65;72;3;13;5;False
2022-01-03;63;84;1;14;5;False
2022-01-04;67;97;2;17;6;False
2022-01-05;68;84;0;17;7;False
2022-01-06;71;83;2;15;6;False
2022-01-07;63;78;1;17;6;False
2022-01-08;60;74;2;14;6;False
2022-01-09;65;79;1;13;4;False
2022-01-10;56;84;1;18;8;False
2022-01-11;65;99;1;18;6;False
2022-01-12;57;85;3;17;7;False
2022-01-13;54;85;1;15;7;False
2022-01-14;62;70;1;14;7;False
2022-01-15;68;78;2;14;6;False
2022-01-16;64;82;3;20;7;False
2022-01-17;51;84;2;16;5;False
2022-01-18;54;91;1;15;5;False
2022-01-19;54;77;1;13;7;False
2022-01-20;52;78;2;16;3;False
2022-01-21;62;78;1;16;2;False
2022-01-22;85;77;1;14;6;False
2022-01-23;95;77;1;15;7;False
2022-01-24;72;100;1;20;7;False
2022-01-25;53;77;1;15;4;False
2022-01-26;60;79;2;15;6;False
2022-01-27;50;68;2;15;5;False
2022-01-28;65;80;1;18;4;False
2022-01-29;63;73;1;16;5;False
2022-01-30;80;75;1;11;6;False
2022-01-31;56;85;2;14;7;False
