date;Soho theatre;Academies;Chanel;Aaron Rodgers;air travel;isPartial
2022-01-01;1;2;88;1;4;False
2022-01-02;2;3;99;2;8;False
2022-01-03;2;2;86;6;7;False
2022-01-04;3;4;87;2;7;False
2022-01-05;3;3;73;2;10;False
2022-01-06;4;4;66;3;8;False
2022-01-07;2;3;77;2;8;False
2022-01-08;3;0;86;2;9;False
2022-01-09;2;1;93;7;7;False
2022-01-10;4;7;79;1;13;False
2022-01-11;4;3;71;1;10;False
2022-01-12;2;5;74;0;9;False
2022-01-13;6;12;72;0;13;False
2022-01-14;3;5;66;1;11;False
2022-01-15;3;2;91;2;9;False
2022-01-16;5;2;100;2;9;False
2022-01-17;2;6;73;4;8;False
2022-01-18;3;6;62;2;8;False
2022-01-19;2;5;81;2;10;False
2022-01-20;2;6;70;0;7;False
2022-01-21;3;5;68;3;5;False
2022-01-22;3;3;94;4;7;False
2022-01-23;3;3;83;23;9;False
2022-01-24;4;6;77;10;13;False
2022-01-25;3;5;60;5;6;False
2022-01-26;5;5;68;4;8;False
2022-01-27;3;4;61;4;9;False
2022-01-28;4;6;75;3;6;False
2022-01-29;3;3;87;5;8;False
2022-01-30;2;6;89;4;9;False
2022-01-31;3;5;71;4;11;False
