date;Ireland rugby union team;France rugby union team;Italy rugby union team;South Africa rugby team;air travel;isPartial
2022-01-01;0;0;0;0;33;False
2022-01-02;0;0;0;0;80;False
2022-01-03;0;0;5;7;53;False
2022-01-04;0;0;0;9;62;False
2022-01-05;0;0;6;0;94;False
2022-01-06;0;0;0;0;72;False
2022-01-07;0;16;0;0;86;False
2022-01-08;0;0;7;0;75;False
2022-01-09;0;7;0;0;58;False
2022-01-10;0;0;0;0;100;False
2022-01-11;0;0;0;0;78;False
2022-01-12;17;0;0;0;86;False
2022-01-13;0;0;0;0;99;False
2022-01-14;0;9;0;15;95;False
2022-01-15;0;0;8;7;89;False
2022-01-16;0;0;0;0;93;False
2022-01-17;0;0;0;0;65;False
2022-01-18;0;7;0;0;78;False
2022-01-19;0;0;0;0;83;False
2022-01-20;0;18;0;0;47;False
2022-01-21;0;0;0;0;44;False
2022-01-22;16;0;0;0;64;False
2022-01-23;0;9;0;0;81;False
2022-01-24;0;0;9;6;88;False
2022-01-25;0;14;0;14;61;False
2022-01-26;0;0;0;5;78;False
2022-01-27;0;0;0;0;67;False
2022-01-28;0;0;0;0;63;False
2022-01-29;0;5;0;10;47;False
2022-01-30;0;0;0;0;86;False
2022-01-31;21;0;0;11;96;False
