date;kyiv;wikileaks;fgm;home office;air travel;isPartial
2022-01-01;0;1;4;47;8;False
2022-01-02;2;2;8;51;15;False
2022-01-03;3;1;5;68;12;False
2022-01-04;0;4;7;86;13;False
2022-01-05;1;1;8;73;19;False
2022-01-06;3;0;9;74;15;False
2022-01-07;1;0;6;67;15;False
2022-01-08;0;0;3;63;17;False
2022-01-09;2;0;8;56;13;False
2022-01-10;5;2;7;87;24;False
2022-01-11;1;0;8;75;19;False
2022-01-12;3;3;11;84;16;False
2022-01-13;0;0;17;82;24;False
2022-01-14;3;3;3;68;20;False
2022-01-15;1;0;4;58;16;False
2022-01-16;2;2;6;58;18;False
2022-01-17;2;0;4;83;16;False
2022-01-18;7;3;9;67;14;False
2022-01-19;6;1;3;63;18;False
2022-01-20;2;3;9;61;13;False
2022-01-21;9;0;6;63;9;False
2022-01-22;8;3;4;43;13;False
2022-01-23;6;0;7;61;17;False
2022-01-24;23;2;21;100;24;False
2022-01-25;12;3;9;69;12;False
2022-01-26;13;1;8;74;16;False
2022-01-27;10;3;8;74;17;False
2022-01-28;4;3;10;68;12;False
2022-01-29;3;2;4;48;15;False
2022-01-30;17;1;6;57;17;False
2022-01-31;10;0;9;81;20;False
