date;Women's FA Cup;Manchester United Women;Bristol City Women;Tottenham Hotspur Women;air travel;isPartial
2022-01-01;0;29;6;0;33;False
2022-01-02;7;0;0;0;80;False
2022-01-03;0;0;0;0;53;False
2022-01-04;10;0;0;0;62;False
2022-01-05;6;0;0;0;94;False
2022-01-06;5;0;0;0;72;False
2022-01-07;11;0;0;0;86;False
2022-01-08;0;0;0;0;75;False
2022-01-09;18;0;0;6;58;False
2022-01-10;13;0;6;0;100;False
2022-01-11;0;0;0;12;78;False
2022-01-12;0;0;0;0;86;False
2022-01-13;0;0;8;0;99;False
2022-01-14;0;0;0;0;95;False
2022-01-15;12;23;13;0;89;False
2022-01-16;0;12;0;0;93;False
2022-01-17;13;6;7;6;65;False
2022-01-18;0;0;0;0;78;False
2022-01-19;7;12;9;8;83;False
2022-01-20;0;0;0;8;47;False
2022-01-21;23;0;0;0;44;False
2022-01-22;26;17;9;0;64;False
2022-01-23;0;11;7;5;81;False
2022-01-24;5;10;0;0;88;False
2022-01-25;0;0;0;0;61;False
2022-01-26;10;7;0;0;78;False
2022-01-27;6;7;0;0;67;False
2022-01-28;21;5;0;5;63;False
2022-01-29;38;0;0;0;47;False
2022-01-30;78;24;8;0;86;False
2022-01-31;32;0;18;0;96;False
