date;gwyneth paltrow;meat loaf;kwasi kwarteng;ghana;air travel;isPartial
2022-01-01;0;0;0;3;0;False
2022-01-02;1;0;0;4;1;False
2022-01-03;1;0;0;4;1;False
2022-01-04;1;0;0;4;1;False
2022-01-05;0;0;0;5;1;False
2022-01-06;0;0;0;4;1;False
2022-01-07;1;0;0;4;1;False
2022-01-08;0;0;0;4;1;False
2022-01-09;1;0;0;5;1;False
2022-01-10;0;0;0;9;1;False
2022-01-11;0;0;0;5;1;False
2022-01-12;0;0;0;4;1;False
2022-01-13;0;0;0;4;1;False
2022-01-14;0;0;0;9;1;False
2022-01-15;0;1;0;6;1;False
2022-01-16;0;0;0;5;1;False
2022-01-17;0;0;0;5;1;False
2022-01-18;0;0;0;11;1;False
2022-01-19;1;0;0;5;1;False
2022-01-20;0;0;0;5;1;False
2022-01-21;1;100;1;4;1;False
2022-01-22;1;23;0;5;1;False
2022-01-23;1;9;0;5;1;False
2022-01-24;0;6;0;5;1;False
2022-01-25;0;3;0;3;1;False
2022-01-26;0;3;0;3;1;False
2022-01-27;0;2;0;3;1;False
2022-01-28;0;2;0;4;1;False
2022-01-29;1;2;0;4;1;False
2022-01-30;0;1;0;4;1;False
2022-01-31;0;1;0;3;1;False
