date;Trinidad and Tobago;Colonialism;Debt relief;Ashes 2021-22;air travel;isPartial
2022-01-01;18;11;5;0;34;False
2022-01-02;13;10;11;0;63;False
2022-01-03;14;11;9;0;51;False
2022-01-04;20;14;14;0;54;False
2022-01-05;12;26;15;6;77;False
2022-01-06;18;11;8;0;61;False
2022-01-07;11;20;16;0;63;False
2022-01-08;7;14;14;0;71;False
2022-01-09;23;22;15;5;55;False
2022-01-10;14;25;0;0;97;False
2022-01-11;11;17;16;12;79;False
2022-01-12;13;28;10;0;67;False
2022-01-13;27;20;16;0;100;False
2022-01-14;10;14;12;0;84;False
2022-01-15;21;18;9;0;66;False
2022-01-16;17;12;7;0;72;False
2022-01-17;15;19;12;0;65;False
2022-01-18;7;12;9;0;59;False
2022-01-19;19;44;14;0;74;False
2022-01-20;24;15;15;0;54;False
2022-01-21;25;4;4;0;38;False
2022-01-22;11;9;7;0;53;False
2022-01-23;33;19;9;0;69;False
2022-01-24;29;16;14;0;97;False
2022-01-25;16;38;23;0;49;False
2022-01-26;9;6;22;0;64;False
2022-01-27;13;21;12;0;71;False
2022-01-28;19;24;14;4;49;False
2022-01-29;10;0;6;0;60;False
2022-01-30;18;7;0;0;71;False
2022-01-31;20;13;5;0;82;False
