date;Lana Del Rey;Spice Girls;Games consoles;Odd Future;air travel;isPartial
2022-01-01;78;66;12;0;34;False
2022-01-02;62;71;18;7;63;False
2022-01-03;48;27;0;0;51;False
2022-01-04;55;50;7;0;54;False
2022-01-05;44;43;5;0;77;False
2022-01-06;50;44;7;0;61;False
2022-01-07;28;48;9;12;63;False
2022-01-08;59;70;14;9;71;False
2022-01-09;54;64;8;0;55;False
2022-01-10;70;33;28;0;97;False
2022-01-11;40;34;5;0;79;False
2022-01-12;67;51;17;6;67;False
2022-01-13;39;49;0;0;100;False
2022-01-14;75;66;0;0;84;False
2022-01-15;67;65;7;0;66;False
2022-01-16;87;56;12;21;72;False
2022-01-17;48;60;0;5;65;False
2022-01-18;63;33;15;0;59;False
2022-01-19;73;39;8;0;74;False
2022-01-20;55;40;9;0;54;False
2022-01-21;81;41;0;0;38;False
2022-01-22;69;53;7;0;53;False
2022-01-23;85;41;8;0;69;False
2022-01-24;81;49;14;0;97;False
2022-01-25;51;36;0;0;49;False
2022-01-26;46;26;5;10;64;False
2022-01-27;79;34;0;0;71;False
2022-01-28;49;48;5;0;49;False
2022-01-29;73;45;0;0;60;False
2022-01-30;57;33;6;9;71;False
2022-01-31;71;29;8;0;82;False
