date;jason sudeikis;royal dutch shell;nature crisis;marks and spencer;air travel;isPartial
2022-01-01;1;0;0;100;1;False
2022-01-02;1;0;0;93;2;False
2022-01-03;1;0;0;92;2;False
2022-01-04;0;1;0;75;2;False
2022-01-05;0;0;0;65;3;False
2022-01-06;0;1;0;68;2;False
2022-01-07;0;1;0;70;2;False
2022-01-08;1;0;0;73;2;False
2022-01-09;1;0;0;74;2;False
2022-01-10;1;1;0;65;3;False
2022-01-11;1;1;0;67;2;False
2022-01-12;1;1;0;62;3;False
2022-01-13;1;0;0;67;3;False
2022-01-14;2;1;0;62;3;False
2022-01-15;1;0;0;70;2;False
2022-01-16;1;0;0;76;3;False
2022-01-17;0;1;0;57;2;False
2022-01-18;0;1;0;54;2;False
2022-01-19;0;1;0;51;3;False
2022-01-20;0;1;0;58;1;False
2022-01-21;0;0;0;59;1;False
2022-01-22;1;0;0;66;2;False
2022-01-23;1;0;0;66;3;False
2022-01-24;1;1;0;65;3;False
2022-01-25;0;1;0;51;2;False
2022-01-26;0;1;1;55;2;False
2022-01-27;0;1;0;54;2;False
2022-01-28;1;1;0;58;2;False
2022-01-29;1;0;0;65;2;False
2022-01-30;0;0;0;67;2;False
2022-01-31;0;1;0;57;3;False
