date;Data protection;Theranos;Climate Camp;Damian Green;air travel;isPartial
2022-01-01;5;3;0;0;6;False
2022-01-02;6;0;0;0;11;False
2022-01-03;11;4;0;0;9;False
2022-01-04;20;100;0;0;10;False
2022-01-05;23;27;0;3;14;False
2022-01-06;21;10;1;1;11;False
2022-01-07;22;5;0;1;11;False
2022-01-08;8;9;0;2;13;False
2022-01-09;7;4;0;0;10;False
2022-01-10;22;3;0;0;17;False
2022-01-11;27;3;3;0;14;False
2022-01-12;24;3;0;3;12;False
2022-01-13;24;2;4;3;18;False
2022-01-14;24;4;0;0;15;False
2022-01-15;9;2;0;1;12;False
2022-01-16;12;0;0;0;13;False
2022-01-17;26;3;0;0;12;False
2022-01-18;25;2;0;0;11;False
2022-01-19;26;2;0;0;13;False
2022-01-20;23;4;0;0;10;False
2022-01-21;22;0;0;1;7;False
2022-01-22;8;4;2;1;10;False
2022-01-23;12;3;3;0;12;False
2022-01-24;28;4;0;1;17;False
2022-01-25;27;1;0;0;9;False
2022-01-26;26;0;0;3;11;False
2022-01-27;23;2;0;0;13;False
2022-01-28;27;1;0;0;9;False
2022-01-29;7;0;0;0;11;False
2022-01-30;9;1;0;0;13;False
2022-01-31;25;2;0;1;15;False
