date;Pierce Brosnan;William Hurt;Remittances;Nestlé;air travel;isPartial
2022-01-01;51;0;0;4;27;False
2022-01-02;38;0;0;0;50;False
2022-01-03;27;5;4;7;41;False
2022-01-04;33;0;0;0;43;False
2022-01-05;41;8;0;0;61;False
2022-01-06;31;4;0;8;49;False
2022-01-07;37;0;0;0;50;False
2022-01-08;100;0;0;0;57;False
2022-01-09;68;4;0;0;44;False
2022-01-10;13;0;7;0;77;False
2022-01-11;13;3;0;0;62;False
2022-01-12;13;16;0;0;53;False
2022-01-13;15;0;0;14;79;False
2022-01-14;39;0;0;0;67;False
2022-01-15;33;0;0;5;53;False
2022-01-16;18;0;0;0;57;False
2022-01-17;22;0;15;9;52;False
2022-01-18;10;0;6;4;47;False
2022-01-19;37;0;5;0;59;False
2022-01-20;44;3;16;12;43;False
2022-01-21;22;5;0;0;30;False
2022-01-22;60;4;3;0;42;False
2022-01-23;46;0;0;0;55;False
2022-01-24;44;0;5;4;77;False
2022-01-25;27;0;3;0;39;False
2022-01-26;30;0;5;6;51;False
2022-01-27;22;3;0;0;57;False
2022-01-28;28;4;4;0;39;False
2022-01-29;43;0;0;0;48;False
2022-01-30;46;6;0;5;57;False
2022-01-31;7;0;0;0;66;False
