date;hertfordshire;lionel messi;new mexico;bali;air travel;isPartial
2022-01-01;69;6;10;50;7;False
2022-01-02;70;10;11;59;14;False
2022-01-03;75;14;9;68;13;False
2022-01-04;75;5;6;60;14;False
2022-01-05;79;5;9;55;18;False
2022-01-06;61;3;9;56;15;False
2022-01-07;66;9;10;54;16;False
2022-01-08;75;3;13;76;16;False
2022-01-09;71;4;12;77;11;False
2022-01-10;89;6;3;57;20;False
2022-01-11;87;6;10;67;16;False
2022-01-12;80;4;8;56;19;False
2022-01-13;74;0;5;58;19;False
2022-01-14;66;7;11;58;19;False
2022-01-15;67;9;11;68;16;False
2022-01-16;82;11;14;76;18;False
2022-01-17;97;8;5;64;13;False
2022-01-18;81;20;10;55;14;False
2022-01-19;77;5;4;48;18;False
2022-01-20;72;3;8;51;8;False
2022-01-21;72;3;7;47;6;False
2022-01-22;70;33;6;61;15;False
2022-01-23;82;17;10;77;17;False
2022-01-24;100;8;9;62;19;False
2022-01-25;73;6;7;52;11;False
2022-01-26;76;7;6;49;15;False
2022-01-27;63;4;12;39;12;False
2022-01-28;75;6;5;47;11;False
2022-01-29;67;9;9;66;12;False
2022-01-30;71;8;7;73;15;False
2022-01-31;79;10;6;60;19;False
