date;US policing;England in West Indies 2022;England cricket team;Cricket;air travel;isPartial
2022-01-01;0;0;0;32;1;False
2022-01-02;0;0;0;38;2;False
2022-01-03;0;0;1;48;1;False
2022-01-04;0;0;0;58;1;False
2022-01-05;0;0;0;72;2;False
2022-01-06;0;0;0;71;2;False
2022-01-07;0;0;0;68;2;False
2022-01-08;0;0;1;71;2;False
2022-01-09;0;0;1;80;1;False
2022-01-10;0;0;0;35;2;False
2022-01-11;0;0;0;43;2;False
2022-01-12;0;0;0;43;2;False
2022-01-13;0;0;1;57;2;False
2022-01-14;0;0;1;69;2;False
2022-01-15;0;0;0;85;2;False
2022-01-16;0;0;2;100;2;False
2022-01-17;0;0;0;38;2;False
2022-01-18;0;0;0;36;1;False
2022-01-19;0;0;0;42;2;False
2022-01-20;0;0;0;40;1;False
2022-01-21;0;0;0;49;1;False
2022-01-22;0;0;1;52;1;False
2022-01-23;0;0;0;70;2;False
2022-01-24;0;0;0;39;2;False
2022-01-25;0;0;0;32;1;False
2022-01-26;0;0;1;49;2;False
2022-01-27;0;0;0;42;2;False
2022-01-28;0;0;0;41;1;False
2022-01-29;0;0;1;58;1;False
2022-01-30;0;0;1;57;2;False
2022-01-31;0;0;0;36;2;False
