date;Academics;Aberystwyth University;Research;University of Sheffield;air travel;isPartial
2022-01-01;1;1;34;1;2;False
2022-01-02;0;0;46;1;4;False
2022-01-03;0;2;55;2;4;False
2022-01-04;1;1;73;3;4;False
2022-01-05;1;1;72;3;5;False
2022-01-06;1;1;77;4;4;False
2022-01-07;1;1;68;2;4;False
2022-01-08;1;1;53;2;5;False
2022-01-09;0;1;67;2;4;False
2022-01-10;1;1;95;2;7;False
2022-01-11;0;2;90;2;6;False
2022-01-12;1;0;85;4;5;False
2022-01-13;0;1;84;4;7;False
2022-01-14;1;2;65;2;6;False
2022-01-15;1;0;50;2;5;False
2022-01-16;2;1;58;3;5;False
2022-01-17;1;2;84;2;5;False
2022-01-18;1;1;85;2;4;False
2022-01-19;1;1;73;4;5;False
2022-01-20;1;1;79;2;4;False
2022-01-21;1;1;67;1;3;False
2022-01-22;1;0;43;2;4;False
2022-01-23;1;1;56;1;5;False
2022-01-24;2;1;100;3;7;False
2022-01-25;0;1;85;3;3;False
2022-01-26;1;2;84;3;4;False
2022-01-27;1;0;69;1;5;False
2022-01-28;1;1;77;2;3;False
2022-01-29;0;1;44;2;4;False
2022-01-30;1;1;52;1;5;False
2022-01-31;1;2;79;2;6;False
