date;Lidl;The Good Wife;Stephen Sondheim;Iran nuclear deal;air travel;isPartial
2022-01-01;100;2;1;0;1;False
2022-01-02;78;1;1;0;2;False
2022-01-03;82;1;0;0;2;False
2022-01-04;42;1;0;0;2;False
2022-01-05;40;1;0;0;3;False
2022-01-06;44;1;0;0;2;False
2022-01-07;45;1;1;0;2;False
2022-01-08;51;1;1;0;3;False
2022-01-09;62;1;0;0;2;False
2022-01-10;45;1;0;0;4;False
2022-01-11;39;1;0;0;3;False
2022-01-12;42;1;0;0;2;False
2022-01-13;43;1;0;0;4;False
2022-01-14;41;1;0;0;3;False
2022-01-15;56;1;1;0;2;False
2022-01-16;68;1;1;1;3;False
2022-01-17;45;1;1;0;2;False
2022-01-18;36;1;0;0;2;False
2022-01-19;37;1;0;0;3;False
2022-01-20;47;1;2;0;2;False
2022-01-21;45;0;1;0;1;False
2022-01-22;51;1;1;0;2;False
2022-01-23;60;1;0;0;3;False
2022-01-24;47;1;1;0;4;False
2022-01-25;40;1;0;0;2;False
2022-01-26;42;1;0;0;2;False
2022-01-27;43;1;0;0;3;False
2022-01-28;45;1;0;0;2;False
2022-01-29;55;1;0;0;2;False
2022-01-30;58;1;0;0;3;False
2022-01-31;44;1;0;0;3;False
