date;MLS;Windrush scandal;Commonwealth immigration;Siblings;air travel;isPartial
2022-01-01;48;0;0;79;17;False
2022-01-02;33;0;0;85;31;False
2022-01-03;43;0;0;73;25;False
2022-01-04;44;0;0;66;26;False
2022-01-05;43;0;3;70;38;False
2022-01-06;34;4;0;67;30;False
2022-01-07;34;5;0;68;31;False
2022-01-08;45;0;0;85;35;False
2022-01-09;49;0;3;84;27;False
2022-01-10;42;0;0;75;47;False
2022-01-11;56;2;0;67;39;False
2022-01-12;39;0;0;82;33;False
2022-01-13;33;7;0;94;49;False
2022-01-14;41;0;0;68;41;False
2022-01-15;45;3;0;89;32;False
2022-01-16;34;4;0;100;35;False
2022-01-17;44;0;0;71;32;False
2022-01-18;36;0;0;72;29;False
2022-01-19;36;0;3;76;37;False
2022-01-20;47;0;0;73;26;False
2022-01-21;35;0;0;61;19;False
2022-01-22;33;0;2;97;26;False
2022-01-23;35;0;2;89;34;False
2022-01-24;38;0;7;85;48;False
2022-01-25;24;0;0;69;24;False
2022-01-26;30;0;0;77;31;False
2022-01-27;28;0;3;85;35;False
2022-01-28;33;4;0;73;24;False
2022-01-29;38;3;0;78;29;False
2022-01-30;38;0;0;80;35;False
2022-01-31;40;2;0;75;40;False
