date;super bowl;us supreme court;the holocaust;boeing;air travel;isPartial
2022-01-01;12;2;1;8;4;False
2022-01-02;17;0;2;10;7;False
2022-01-03;18;1;0;9;6;False
2022-01-04;18;0;3;11;6;False
2022-01-05;14;0;2;8;9;False
2022-01-06;8;0;3;13;7;False
2022-01-07;11;3;1;8;7;False
2022-01-08;14;1;2;10;8;False
2022-01-09;26;0;2;11;6;False
2022-01-10;25;1;2;12;11;False
2022-01-11;18;0;2;9;9;False
2022-01-12;17;1;3;10;7;False
2022-01-13;18;1;4;13;11;False
2022-01-14;14;0;3;10;9;False
2022-01-15;28;1;2;9;7;False
2022-01-16;45;0;3;11;8;False
2022-01-17;24;1;6;9;7;False
2022-01-18;20;0;4;10;7;False
2022-01-19;15;0;4;8;8;False
2022-01-20;25;2;4;9;6;False
2022-01-21;31;1;3;11;4;False
2022-01-22;43;0;5;11;6;False
2022-01-23;64;0;5;11;8;False
2022-01-24;49;1;5;15;11;False
2022-01-25;22;1;7;14;5;False
2022-01-26;21;3;9;15;7;False
2022-01-27;22;3;34;9;8;False
2022-01-28;20;1;16;10;6;False
2022-01-29;46;1;6;8;7;False
2022-01-30;79;1;8;9;8;False
2022-01-31;100;0;5;10;9;False
