date;Communities;Australian election 2022;Scott Morrison;Parents and parenting;air travel;isPartial
2022-01-01;28;0;0;0;34;False
2022-01-02;34;0;0;0;63;False
2022-01-03;27;0;22;0;51;False
2022-01-04;72;12;0;0;54;False
2022-01-05;79;8;29;0;77;False
2022-01-06;80;0;32;5;61;False
2022-01-07;69;0;14;0;63;False
2022-01-08;42;5;11;0;71;False
2022-01-09;33;0;13;5;55;False
2022-01-10;74;0;33;4;97;False
2022-01-11;84;9;0;0;79;False
2022-01-12;63;0;5;0;67;False
2022-01-13;87;0;9;0;100;False
2022-01-14;75;0;29;0;84;False
2022-01-15;48;0;7;0;66;False
2022-01-16;75;0;16;15;72;False
2022-01-17;79;7;0;0;65;False
2022-01-18;81;0;9;6;59;False
2022-01-19;75;0;0;0;74;False
2022-01-20;55;0;10;0;54;False
2022-01-21;78;0;0;0;38;False
2022-01-22;40;0;7;7;53;False
2022-01-23;56;4;0;0;69;False
2022-01-24;84;0;0;0;97;False
2022-01-25;69;0;4;0;49;False
2022-01-26;74;0;7;7;64;False
2022-01-27;66;0;0;0;71;False
2022-01-28;79;8;5;0;49;False
2022-01-29;45;0;0;0;60;False
2022-01-30;46;0;0;0;71;False
2022-01-31;65;0;0;0;82;False
