date;US student debt;US student finance;MI6;Asos;air travel;isPartial
2022-01-01;0;0;4;92;2;False
2022-01-02;0;0;2;91;3;False
2022-01-03;0;0;2;88;3;False
2022-01-04;0;0;1;94;3;False
2022-01-05;0;0;2;86;4;False
2022-01-06;0;0;2;91;3;False
2022-01-07;0;0;2;86;3;False
2022-01-08;0;0;2;91;4;False
2022-01-09;0;0;1;93;3;False
2022-01-10;0;0;1;100;5;False
2022-01-11;0;0;1;84;4;False
2022-01-12;0;0;2;83;4;False
2022-01-13;0;0;4;97;6;False
2022-01-14;0;0;2;88;5;False
2022-01-15;0;0;2;90;4;False
2022-01-16;0;0;1;95;4;False
2022-01-17;0;0;2;91;4;False
2022-01-18;0;0;1;85;3;False
2022-01-19;0;0;1;76;4;False
2022-01-20;0;0;2;77;3;False
2022-01-21;0;0;1;74;2;False
2022-01-22;0;0;2;84;3;False
2022-01-23;0;0;3;94;4;False
2022-01-24;0;0;1;95;5;False
2022-01-25;0;0;1;83;3;False
2022-01-26;0;0;2;82;4;False
2022-01-27;0;0;1;83;4;False
2022-01-28;0;0;1;83;3;False
2022-01-29;0;0;2;86;3;False
2022-01-30;0;0;1;88;4;False
2022-01-31;0;0;2;92;5;False
