date;australian open;scotland;duchess of sussex;meghan markle;air travel;isPartial
2022-01-01;1;71;0;2;0;False
2022-01-02;1;81;0;2;1;False
2022-01-03;1;82;0;1;1;False
2022-01-04;2;83;0;2;1;False
2022-01-05;4;94;0;2;1;False
2022-01-06;4;75;0;2;1;False
2022-01-07;2;79;0;2;1;False
2022-01-08;3;67;0;2;1;False
2022-01-09;3;67;0;3;1;False
2022-01-10;5;82;0;2;1;False
2022-01-11;5;75;0;1;1;False
2022-01-12;4;75;0;2;1;False
2022-01-13;6;77;0;2;1;False
2022-01-14;7;68;0;1;1;False
2022-01-15;7;78;0;2;1;False
2022-01-16;15;73;0;2;1;False
2022-01-17;24;86;0;2;1;False
2022-01-18;39;76;0;2;1;False
2022-01-19;22;67;0;1;1;False
2022-01-20;32;71;0;2;1;False
2022-01-21;24;68;0;2;0;False
2022-01-22;23;67;0;2;1;False
2022-01-23;22;64;0;1;1;False
2022-01-24;26;86;0;2;1;False
2022-01-25;28;76;0;1;1;False
2022-01-26;29;67;0;1;1;False
2022-01-27;23;60;0;2;1;False
2022-01-28;33;71;0;1;1;False
2022-01-29;35;75;0;2;1;False
2022-01-30;100;64;0;2;1;False
2022-01-31;5;81;0;2;1;False
