date;National Archives;Politics past;Census;Gloucestershire;air travel;isPartial
2022-01-01;1;0;5;10;1;False
2022-01-02;1;0;5;11;2;False
2022-01-03;1;0;6;10;2;False
2022-01-04;1;0;6;12;2;False
2022-01-05;1;0;7;12;3;False
2022-01-06;4;0;100;12;2;False
2022-01-07;2;0;44;13;2;False
2022-01-08;1;0;26;10;3;False
2022-01-09;1;0;19;10;2;False
2022-01-10;1;0;15;15;3;False
2022-01-11;1;0;13;12;3;False
2022-01-12;0;0;9;11;2;False
2022-01-13;1;0;9;11;4;False
2022-01-14;1;1;7;11;3;False
2022-01-15;1;0;7;12;2;False
2022-01-16;1;1;7;11;3;False
2022-01-17;1;0;9;11;2;False
2022-01-18;1;0;6;12;2;False
2022-01-19;1;0;6;10;3;False
2022-01-20;1;0;8;11;2;False
2022-01-21;1;0;6;11;1;False
2022-01-22;1;0;5;9;2;False
2022-01-23;1;0;7;10;2;False
2022-01-24;1;0;7;12;3;False
2022-01-25;1;0;5;12;2;False
2022-01-26;1;0;5;11;2;False
2022-01-27;1;0;5;10;3;False
2022-01-28;1;0;4;11;2;False
2022-01-29;1;0;5;10;2;False
2022-01-30;1;0;5;10;3;False
2022-01-31;1;0;6;11;3;False
