date;Sally McManus;Crown Resorts;James Packer;Oakland;air travel;isPartial
2022-01-01;0;0;0;70;31;False
2022-01-02;0;0;0;94;58;False
2022-01-03;0;0;0;100;47;False
2022-01-04;0;0;0;67;50;False
2022-01-05;0;0;8;57;71;False
2022-01-06;0;0;0;84;56;False
2022-01-07;0;7;0;63;58;False
2022-01-08;0;0;0;79;66;False
2022-01-09;0;0;9;60;51;False
2022-01-10;0;5;10;62;89;False
2022-01-11;0;0;0;43;72;False
2022-01-12;0;0;8;63;62;False
2022-01-13;0;0;0;80;92;False
2022-01-14;0;0;0;45;77;False
2022-01-15;0;0;0;72;61;False
2022-01-16;0;0;0;99;66;False
2022-01-17;0;13;6;66;60;False
2022-01-18;0;0;0;47;54;False
2022-01-19;0;0;0;53;69;False
2022-01-20;0;0;0;48;50;False
2022-01-21;0;0;0;49;35;False
2022-01-22;0;0;0;55;49;False
2022-01-23;0;6;0;60;63;False
2022-01-24;0;0;0;67;89;False
2022-01-25;0;7;4;32;45;False
2022-01-26;0;10;0;55;59;False
2022-01-27;0;0;0;42;66;False
2022-01-28;0;0;0;88;46;False
2022-01-29;0;0;0;62;55;False
2022-01-30;0;4;0;89;66;False
2022-01-31;0;0;0;79;76;False
