date;Athletic Bilbao;Gary Lineker;Armando Iannucci;Michael Rosen;air travel;isPartial
2022-01-01;0;44;2;3;9;False
2022-01-02;3;18;0;3;17;False
2022-01-03;10;7;0;3;14;False
2022-01-04;0;13;0;2;15;False
2022-01-05;7;8;3;5;21;False
2022-01-06;14;6;2;4;17;False
2022-01-07;3;8;0;4;17;False
2022-01-08;0;100;4;4;20;False
2022-01-09;7;28;0;5;15;False
2022-01-10;2;34;1;0;27;False
2022-01-11;0;11;2;28;22;False
2022-01-12;0;13;5;95;19;False
2022-01-13;29;8;3;57;28;False
2022-01-14;9;4;4;22;23;False
2022-01-15;1;17;0;21;18;False
2022-01-16;27;15;5;11;20;False
2022-01-17;3;15;1;6;18;False
2022-01-18;5;9;0;8;16;False
2022-01-19;2;7;3;5;21;False
2022-01-20;20;12;0;4;15;False
2022-01-21;4;15;4;7;10;False
2022-01-22;0;49;0;14;15;False
2022-01-23;4;19;1;11;19;False
2022-01-24;0;8;6;8;27;False
2022-01-25;1;7;1;6;14;False
2022-01-26;0;6;0;5;18;False
2022-01-27;0;8;0;6;20;False
2022-01-28;0;6;0;7;14;False
2022-01-29;4;63;3;9;17;False
2022-01-30;1;19;0;6;20;False
2022-01-31;0;10;0;8;23;False
