date;Sizewell C;Fossil fuel divestment;Nissan;Jaguar Land Rover;air travel;isPartial
2022-01-01;0;0;61;2;3;False
2022-01-02;0;0;65;1;6;False
2022-01-03;0;0;69;2;5;False
2022-01-04;0;0;75;2;5;False
2022-01-05;0;0;77;2;7;False
2022-01-06;0;0;79;4;6;False
2022-01-07;1;0;73;2;6;False
2022-01-08;0;0;77;2;6;False
2022-01-09;0;0;74;2;5;False
2022-01-10;0;0;87;4;9;False
2022-01-11;0;1;75;2;7;False
2022-01-12;0;3;81;3;6;False
2022-01-13;0;0;81;5;9;False
2022-01-14;0;0;78;3;8;False
2022-01-15;0;0;92;2;6;False
2022-01-16;1;0;83;2;7;False
2022-01-17;0;0;86;4;6;False
2022-01-18;0;0;84;4;5;False
2022-01-19;0;0;77;3;7;False
2022-01-20;0;0;79;4;5;False
2022-01-21;0;0;80;2;3;False
2022-01-22;0;0;87;2;5;False
2022-01-23;1;0;87;2;6;False
2022-01-24;0;0;100;3;9;False
2022-01-25;0;0;75;4;4;False
2022-01-26;0;0;83;4;6;False
2022-01-27;2;1;76;3;6;False
2022-01-28;0;0;78;3;4;False
2022-01-29;1;0;90;4;5;False
2022-01-30;0;0;78;1;6;False
2022-01-31;0;1;86;3;7;False
