date;Women in politics;Sonny Rollins;Ben Roberts-Smith;Fiji;air travel;isPartial
2022-01-01;0;0;5;29;16;False
2022-01-02;4;6;0;34;29;False
2022-01-03;0;0;0;26;24;False
2022-01-04;0;0;0;39;25;False
2022-01-05;0;0;2;32;36;False
2022-01-06;5;0;0;23;28;False
2022-01-07;0;7;8;28;29;False
2022-01-08;0;2;0;37;33;False
2022-01-09;0;0;4;32;25;False
2022-01-10;0;0;0;34;45;False
2022-01-11;0;0;0;25;36;False
2022-01-12;0;0;0;32;31;False
2022-01-13;0;0;0;35;46;False
2022-01-14;6;0;0;26;39;False
2022-01-15;0;4;0;72;31;False
2022-01-16;0;0;0;72;33;False
2022-01-17;0;2;0;59;30;False
2022-01-18;0;4;0;43;27;False
2022-01-19;0;0;3;30;34;False
2022-01-20;0;0;0;100;25;False
2022-01-21;4;4;0;31;18;False
2022-01-22;0;2;0;50;25;False
2022-01-23;4;0;8;45;32;False
2022-01-24;0;0;0;34;45;False
2022-01-25;0;0;0;28;23;False
2022-01-26;0;5;0;24;29;False
2022-01-27;0;0;0;27;33;False
2022-01-28;4;0;0;27;23;False
2022-01-29;0;5;0;33;28;False
2022-01-30;0;8;0;24;33;False
2022-01-31;0;0;0;22;38;False
