date;air;tokyo sevens 2013;tiger king;sarah harding;air travel;isPartial
2022-01-01;68;0;0;0;0;False
2022-01-02;86;0;1;1;1;False
2022-01-03;82;0;0;0;1;False
2022-01-04;84;0;0;0;1;False
2022-01-05;80;0;0;0;1;False
2022-01-06;73;0;0;0;1;False
2022-01-07;76;0;0;0;1;False
2022-01-08;81;0;1;0;1;False
2022-01-09;88;0;0;0;1;False
2022-01-10;81;0;1;0;1;False
2022-01-11;80;0;0;0;1;False
2022-01-12;72;0;0;0;1;False
2022-01-13;78;0;0;0;1;False
2022-01-14;71;0;0;0;1;False
2022-01-15;86;0;0;0;1;False
2022-01-16;83;0;0;0;1;False
2022-01-17;72;0;0;0;1;False
2022-01-18;69;0;0;0;1;False
2022-01-19;71;0;0;0;1;False
2022-01-20;66;0;0;0;0;False
2022-01-21;65;0;0;0;0;False
2022-01-22;80;0;0;0;1;False
2022-01-23;86;0;0;0;1;False
2022-01-24;100;0;0;0;1;False
2022-01-25;64;0;0;0;1;False
2022-01-26;73;0;0;0;1;False
2022-01-27;65;0;0;0;1;False
2022-01-28;75;0;0;0;0;False
2022-01-29;78;0;1;0;1;False
2022-01-30;83;0;0;0;1;False
2022-01-31;77;0;0;0;1;False
