date;Reserve Bank of Australia;Film criticism;PlayStation 5;Adventure games;air travel;isPartial
2022-01-01;0;0;74;7;11;False
2022-01-02;2;2;100;8;20;False
2022-01-03;0;0;83;5;16;False
2022-01-04;2;0;49;0;17;False
2022-01-05;0;0;58;5;24;False
2022-01-06;0;2;38;5;19;False
2022-01-07;3;2;47;6;20;False
2022-01-08;0;0;62;4;22;False
2022-01-09;0;3;60;2;17;False
2022-01-10;0;0;56;0;30;False
2022-01-11;0;1;49;6;25;False
2022-01-12;0;0;47;3;21;False
2022-01-13;0;0;56;7;31;False
2022-01-14;0;0;56;3;26;False
2022-01-15;0;0;52;8;21;False
2022-01-16;0;0;55;3;22;False
2022-01-17;0;0;45;10;20;False
2022-01-18;0;0;56;8;18;False
2022-01-19;0;1;42;4;23;False
2022-01-20;1;3;41;10;17;False
2022-01-21;0;3;42;5;12;False
2022-01-22;0;0;64;2;17;False
2022-01-23;0;3;44;6;21;False
2022-01-24;0;0;48;3;30;False
2022-01-25;0;0;45;3;15;False
2022-01-26;0;0;41;5;20;False
2022-01-27;0;0;31;0;22;False
2022-01-28;0;0;49;2;15;False
2022-01-29;0;2;70;5;19;False
2022-01-30;0;0;54;5;22;False
2022-01-31;2;0;40;3;26;False
