date;Samsung;Radio 1;Solar power;Stan Tracey;air travel;isPartial
2022-01-01;88;4;0;0;1;False
2022-01-02;98;3;1;0;2;False
2022-01-03;99;3;1;0;1;False
2022-01-04;99;6;1;0;1;False
2022-01-05;98;6;1;0;2;False
2022-01-06;78;5;1;0;1;False
2022-01-07;93;8;1;0;2;False
2022-01-08;98;5;1;0;2;False
2022-01-09;95;4;1;0;1;False
2022-01-10;79;7;1;0;2;False
2022-01-11;84;6;1;0;2;False
2022-01-12;81;7;1;0;2;False
2022-01-13;78;6;1;0;2;False
2022-01-14;78;7;1;0;2;False
2022-01-15;92;6;1;0;2;False
2022-01-16;84;4;1;0;2;False
2022-01-17;80;5;1;0;1;False
2022-01-18;70;6;1;0;2;False
2022-01-19;68;5;1;0;2;False
2022-01-20;70;7;1;0;1;False
2022-01-21;76;8;1;0;1;False
2022-01-22;85;6;1;0;1;False
2022-01-23;100;4;1;0;2;False
2022-01-24;99;5;2;0;2;False
2022-01-25;92;5;1;0;1;False
2022-01-26;75;6;1;0;2;False
2022-01-27;73;6;1;0;1;False
2022-01-28;75;8;1;0;1;False
2022-01-29;95;5;1;0;1;False
2022-01-30;92;4;1;0;2;False
2022-01-31;81;6;1;0;2;False
