date;Living wage;Pay;Renting property;EDF Energy;air travel;isPartial
2022-01-01;0;43;0;1;0;False
2022-01-02;1;54;0;1;1;False
2022-01-03;1;60;0;1;1;False
2022-01-04;1;81;0;2;1;False
2022-01-05;2;78;0;2;1;False
2022-01-06;1;76;0;2;1;False
2022-01-07;1;77;0;3;1;False
2022-01-08;1;64;0;1;1;False
2022-01-09;1;60;0;1;1;False
2022-01-10;2;87;0;3;1;False
2022-01-11;1;77;0;2;1;False
2022-01-12;1;75;0;2;1;False
2022-01-13;2;82;0;2;1;False
2022-01-14;1;68;0;2;1;False
2022-01-15;1;63;0;1;1;False
2022-01-16;0;61;0;1;1;False
2022-01-17;1;84;0;3;1;False
2022-01-18;2;81;0;2;1;False
2022-01-19;1;73;0;2;1;False
2022-01-20;1;74;0;2;1;False
2022-01-21;1;72;0;2;1;False
2022-01-22;1;56;0;1;1;False
2022-01-23;1;63;0;1;1;False
2022-01-24;1;93;0;2;1;False
2022-01-25;1;80;0;2;1;False
2022-01-26;1;85;0;2;1;False
2022-01-27;1;79;0;2;1;False
2022-01-28;1;86;0;2;1;False
2022-01-29;1;68;0;1;1;False
2022-01-30;1;70;0;1;1;False
2022-01-31;1;100;0;2;1;False
