date;Endometriosis;Romance books;Janet Yellen;Royal Navy;air travel;isPartial
2022-01-01;15;7;0;20;7;False
2022-01-02;27;0;0;23;14;False
2022-01-03;29;6;0;32;11;False
2022-01-04;28;6;2;29;12;False
2022-01-05;31;3;0;24;17;False
2022-01-06;26;3;0;26;13;False
2022-01-07;33;8;0;70;14;False
2022-01-08;27;0;0;37;15;False
2022-01-09;26;6;1;26;12;False
2022-01-10;36;3;1;32;21;False
2022-01-11;32;3;0;37;17;False
2022-01-12;32;3;0;27;15;False
2022-01-13;31;6;0;35;22;False
2022-01-14;32;4;0;24;18;False
2022-01-15;27;1;0;100;14;False
2022-01-16;30;5;3;43;16;False
2022-01-17;38;4;2;50;14;False
2022-01-18;32;3;0;38;13;False
2022-01-19;30;2;1;28;16;False
2022-01-20;28;2;0;36;12;False
2022-01-21;33;4;1;24;8;False
2022-01-22;29;4;0;28;11;False
2022-01-23;38;5;0;27;15;False
2022-01-24;31;5;0;50;21;False
2022-01-25;33;4;0;30;11;False
2022-01-26;43;5;0;30;14;False
2022-01-27;46;6;0;24;15;False
2022-01-28;45;5;0;18;11;False
2022-01-29;39;7;0;24;13;False
2022-01-30;35;5;0;30;15;False
2022-01-31;42;6;0;31;18;False
