date;Spanish food and drink;Fern Brady;Shellfish;Salad;air travel;isPartial
2022-01-01;0;2;2;77;4;False
2022-01-02;0;0;3;88;8;False
2022-01-03;0;0;3;100;6;False
2022-01-04;1;0;1;85;7;False
2022-01-05;0;1;1;81;9;False
2022-01-06;0;2;3;69;7;False
2022-01-07;0;0;4;75;8;False
2022-01-08;0;1;2;85;9;False
2022-01-09;2;0;1;85;7;False
2022-01-10;1;0;2;88;12;False
2022-01-11;0;1;4;84;10;False
2022-01-12;0;1;1;78;8;False
2022-01-13;0;3;3;83;12;False
2022-01-14;0;0;2;70;10;False
2022-01-15;0;1;3;88;8;False
2022-01-16;0;1;2;91;9;False
2022-01-17;0;2;2;79;8;False
2022-01-18;0;1;3;73;7;False
2022-01-19;0;1;3;70;9;False
2022-01-20;1;1;2;73;7;False
2022-01-21;1;1;3;67;5;False
2022-01-22;0;2;4;75;6;False
2022-01-23;1;1;2;84;8;False
2022-01-24;0;6;4;92;12;False
2022-01-25;0;1;3;73;6;False
2022-01-26;0;0;2;73;8;False
2022-01-27;1;0;2;66;9;False
2022-01-28;1;0;3;72;6;False
2022-01-29;0;2;2;80;7;False
2022-01-30;0;0;2;81;9;False
2022-01-31;0;0;2;76;10;False
