date;Ange Postecoglou;Juggling;Sadler's Wells;Travel writing;air travel;isPartial
2022-01-01;8;24;12;0;34;False
2022-01-02;14;5;23;10;63;False
2022-01-03;10;11;22;5;51;False
2022-01-04;5;5;28;21;54;False
2022-01-05;8;0;16;0;77;False
2022-01-06;0;11;11;24;61;False
2022-01-07;0;12;38;0;63;False
2022-01-08;0;8;21;11;71;False
2022-01-09;0;18;23;0;55;False
2022-01-10;5;11;34;7;97;False
2022-01-11;14;9;22;0;79;False
2022-01-12;14;12;16;0;67;False
2022-01-13;8;11;11;0;100;False
2022-01-14;0;15;13;0;84;False
2022-01-15;20;12;39;0;66;False
2022-01-16;11;8;35;0;72;False
2022-01-17;11;18;30;0;65;False
2022-01-18;0;0;23;0;59;False
2022-01-19;0;11;25;12;74;False
2022-01-20;0;7;15;0;54;False
2022-01-21;5;5;22;11;38;False
2022-01-22;25;8;21;6;53;False
2022-01-23;8;6;24;6;69;False
2022-01-24;10;8;17;0;97;False
2022-01-25;21;17;17;0;49;False
2022-01-26;8;4;7;0;64;False
2022-01-27;0;8;21;0;71;False
2022-01-28;0;0;29;0;49;False
2022-01-29;12;9;20;0;60;False
2022-01-30;0;0;13;5;71;False
2022-01-31;0;13;8;10;82;False
