date;Food and drink books;Classical music;Thrillers;Pop and rock;air travel;isPartial
2022-01-01;0;57;45;14;34;False
2022-01-02;0;63;48;17;63;False
2022-01-03;0;45;33;8;51;False
2022-01-04;0;58;18;5;54;False
2022-01-05;0;52;23;0;77;False
2022-01-06;0;46;17;0;61;False
2022-01-07;0;52;42;0;63;False
2022-01-08;0;44;52;0;71;False
2022-01-09;0;56;50;0;55;False
2022-01-10;0;53;24;0;97;False
2022-01-11;0;79;16;8;79;False
2022-01-12;0;43;33;12;67;False
2022-01-13;0;63;24;0;100;False
2022-01-14;0;54;62;11;84;False
2022-01-15;0;65;60;6;66;False
2022-01-16;0;49;65;7;72;False
2022-01-17;0;70;19;0;65;False
2022-01-18;0;54;20;0;59;False
2022-01-19;0;47;16;0;74;False
2022-01-20;0;71;29;0;54;False
2022-01-21;0;38;27;0;38;False
2022-01-22;0;47;42;0;53;False
2022-01-23;0;59;31;4;69;False
2022-01-24;0;59;30;8;97;False
2022-01-25;0;51;15;0;49;False
2022-01-26;0;51;25;5;64;False
2022-01-27;0;51;15;5;71;False
2022-01-28;0;70;22;7;49;False
2022-01-29;0;40;51;7;60;False
2022-01-30;0;55;34;12;71;False
2022-01-31;0;52;13;0;82;False
