date;San Francisco Ballet;Deaths in custody;Jurassic Park;Jacqueline Wilson;air travel;isPartial
2022-01-01;0;0;73;3;15;False
2022-01-02;0;0;58;15;29;False
2022-01-03;0;7;43;9;23;False
2022-01-04;0;3;36;14;25;False
2022-01-05;0;0;34;27;35;False
2022-01-06;0;0;54;12;28;False
2022-01-07;0;0;37;14;29;False
2022-01-08;0;0;57;14;33;False
2022-01-09;0;6;59;14;25;False
2022-01-10;0;3;31;11;44;False
2022-01-11;0;0;32;11;36;False
2022-01-12;0;2;36;9;31;False
2022-01-13;3;0;46;12;46;False
2022-01-14;0;0;56;4;38;False
2022-01-15;0;5;74;0;30;False
2022-01-16;0;0;100;8;33;False
2022-01-17;0;0;34;17;30;False
2022-01-18;0;0;29;6;27;False
2022-01-19;6;0;31;4;34;False
2022-01-20;0;0;33;6;25;False
2022-01-21;0;2;39;2;17;False
2022-01-22;0;0;54;2;24;False
2022-01-23;2;8;52;10;31;False
2022-01-24;3;0;31;6;44;False
2022-01-25;0;0;37;4;23;False
2022-01-26;2;0;29;5;29;False
2022-01-27;0;0;34;7;33;False
2022-01-28;0;0;31;3;23;False
2022-01-29;0;0;54;7;27;False
2022-01-30;0;0;51;7;33;False
2022-01-31;0;0;38;3;38;False
