date;Middlesex;The Great Australian Bake Off;The Great British Bake Off;Food TV;air travel;isPartial
2022-01-01;51;0;10;13;18;False
2022-01-02;57;0;6;14;33;False
2022-01-03;64;0;0;17;27;False
2022-01-04;76;0;3;14;29;False
2022-01-05;88;6;0;18;41;False
2022-01-06;67;0;5;3;32;False
2022-01-07;79;0;11;13;34;False
2022-01-08;75;0;12;27;38;False
2022-01-09;61;0;5;15;29;False
2022-01-10;89;0;0;12;51;False
2022-01-11;85;0;0;15;42;False
2022-01-12;81;0;0;8;36;False
2022-01-13;94;0;0;9;53;False
2022-01-14;76;0;0;12;44;False
2022-01-15;50;0;0;22;35;False
2022-01-16;58;3;4;18;38;False
2022-01-17;85;0;3;12;34;False
2022-01-18;75;0;2;20;31;False
2022-01-19;71;0;4;5;40;False
2022-01-20;82;5;3;12;29;False
2022-01-21;78;0;5;7;20;False
2022-01-22;59;0;4;23;28;False
2022-01-23;50;0;8;13;37;False
2022-01-24;96;0;3;12;52;False
2022-01-25;98;0;2;11;26;False
2022-01-26;86;4;2;7;34;False
2022-01-27;64;5;0;6;38;False
2022-01-28;100;3;5;5;26;False
2022-01-29;66;0;2;20;32;False
2022-01-30;46;4;0;15;38;False
2022-01-31;84;0;4;10;44;False
