date;Sandwiches;Malta;Golden State Warriors;Drones (military);air travel;isPartial
2022-01-01;12;54;6;2;6;False
2022-01-02;13;68;8;0;12;False
2022-01-03;11;68;5;0;10;False
2022-01-04;13;66;6;2;10;False
2022-01-05;9;71;6;0;15;False
2022-01-06;8;62;4;0;12;False
2022-01-07;12;65;5;0;12;False
2022-01-08;15;85;4;0;14;False
2022-01-09;14;82;11;2;10;False
2022-01-10;17;84;20;0;18;False
2022-01-11;19;70;3;0;15;False
2022-01-12;10;80;8;0;13;False
2022-01-13;12;81;5;0;19;False
2022-01-14;11;72;9;2;16;False
2022-01-15;12;76;11;0;13;False
2022-01-16;13;94;7;0;14;False
2022-01-17;13;92;7;0;12;False
2022-01-18;12;82;4;0;11;False
2022-01-19;11;70;5;0;14;False
2022-01-20;15;68;4;1;10;False
2022-01-21;12;71;6;1;7;False
2022-01-22;8;81;6;0;10;False
2022-01-23;12;95;5;0;13;False
2022-01-24;16;100;6;0;18;False
2022-01-25;14;85;3;0;9;False
2022-01-26;10;71;5;1;12;False
2022-01-27;15;72;2;0;14;False
2022-01-28;13;80;7;1;9;False
2022-01-29;11;83;4;0;11;False
2022-01-30;14;93;7;0;14;False
2022-01-31;14;75;3;0;16;False
