date;FKA twigs;Peter Crouch;Yoga holidays;Yoga;air travel;isPartial
2022-01-01;1;5;0;71;3;False
2022-01-02;2;5;1;88;5;False
2022-01-03;1;4;0;100;4;False
2022-01-04;1;3;0;94;4;False
2022-01-05;1;2;1;74;6;False
2022-01-06;2;2;0;70;5;False
2022-01-07;1;4;1;71;5;False
2022-01-08;1;14;1;77;5;False
2022-01-09;2;7;1;90;4;False
2022-01-10;1;4;0;99;7;False
2022-01-11;2;3;0;78;6;False
2022-01-12;0;3;0;69;5;False
2022-01-13;2;4;0;77;7;False
2022-01-14;9;2;0;62;6;False
2022-01-15;5;5;0;75;5;False
2022-01-16;5;5;0;87;5;False
2022-01-17;5;3;0;78;5;False
2022-01-18;3;2;0;74;4;False
2022-01-19;3;3;0;64;6;False
2022-01-20;3;1;0;66;4;False
2022-01-21;2;2;0;63;3;False
2022-01-22;3;5;1;67;4;False
2022-01-23;3;2;1;81;5;False
2022-01-24;2;1;0;94;7;False
2022-01-25;3;3;0;77;4;False
2022-01-26;3;2;0;68;5;False
2022-01-27;2;1;2;65;5;False
2022-01-28;2;2;0;64;4;False
2022-01-29;2;3;0;71;4;False
2022-01-30;2;4;0;71;5;False
2022-01-31;1;5;0;82;6;False
