date;Scams;Edwin Morgan;Swindon;Kidderminster Harriers;air travel;isPartial
2022-01-01;1;0;29;0;1;False
2022-01-02;1;0;25;0;1;False
2022-01-03;2;0;22;1;1;False
2022-01-04;1;0;24;0;1;False
2022-01-05;1;0;23;0;2;False
2022-01-06;2;0;26;0;1;False
2022-01-07;1;0;100;1;1;False
2022-01-08;2;0;35;12;1;False
2022-01-09;1;0;21;12;1;False
2022-01-10;1;0;25;4;2;False
2022-01-11;1;0;24;2;2;False
2022-01-12;1;0;20;1;1;False
2022-01-13;2;0;23;2;2;False
2022-01-14;1;0;20;1;2;False
2022-01-15;1;0;27;1;1;False
2022-01-16;1;0;22;0;2;False
2022-01-17;2;0;25;1;1;False
2022-01-18;2;0;21;1;1;False
2022-01-19;2;0;21;1;2;False
2022-01-20;2;0;20;1;1;False
2022-01-21;2;0;22;1;1;False
2022-01-22;1;0;30;1;1;False
2022-01-23;1;0;20;0;1;False
2022-01-24;2;0;26;0;2;False
2022-01-25;2;0;21;1;1;False
2022-01-26;1;0;22;1;1;False
2022-01-27;2;0;21;1;1;False
2022-01-28;1;0;24;1;1;False
2022-01-29;2;0;27;1;1;False
2022-01-30;1;0;20;1;1;False
2022-01-31;2;0;24;1;2;False
