date;Philosophy books;Oscars;Spider-Man;Sailing;air travel;isPartial
2022-01-01;1;25;99;43;7;False
2022-01-02;1;32;100;49;13;False
2022-01-03;1;24;77;47;11;False
2022-01-04;0;16;65;46;12;False
2022-01-05;0;18;54;40;17;False
2022-01-06;0;18;58;36;13;False
2022-01-07;2;21;52;38;14;False
2022-01-08;0;28;87;51;15;False
2022-01-09;2;26;73;42;12;False
2022-01-10;0;23;46;46;21;False
2022-01-11;2;22;45;42;17;False
2022-01-12;4;23;47;34;14;False
2022-01-13;0;21;43;51;21;False
2022-01-14;0;16;52;35;18;False
2022-01-15;2;29;67;44;14;False
2022-01-16;1;27;64;49;15;False
2022-01-17;0;12;39;40;14;False
2022-01-18;1;18;36;38;13;False
2022-01-19;0;18;26;33;16;False
2022-01-20;1;10;33;35;12;False
2022-01-21;2;22;34;30;8;False
2022-01-22;0;23;44;41;11;False
2022-01-23;1;19;63;38;15;False
2022-01-24;1;21;34;46;21;False
2022-01-25;0;17;34;34;11;False
2022-01-26;1;16;29;36;14;False
2022-01-27;0;17;30;33;15;False
2022-01-28;2;15;34;32;11;False
2022-01-29;0;23;51;49;13;False
2022-01-30;1;23;39;44;15;False
2022-01-31;1;16;26;42;18;False
