date;Smart homes;Motorola;Kodak;Buying to let;air travel;isPartial
2022-01-01;0;85;37;0;17;False
2022-01-02;0;86;43;3;31;False
2022-01-03;0;65;36;0;25;False
2022-01-04;0;74;37;4;26;False
2022-01-05;0;80;28;0;38;False
2022-01-06;0;67;32;10;30;False
2022-01-07;0;79;26;5;31;False
2022-01-08;4;75;42;0;35;False
2022-01-09;0;75;36;4;27;False
2022-01-10;0;75;39;0;47;False
2022-01-11;6;100;33;3;38;False
2022-01-12;5;77;63;6;33;False
2022-01-13;8;74;57;0;49;False
2022-01-14;4;74;49;3;41;False
2022-01-15;0;80;40;4;32;False
2022-01-16;0;81;38;5;35;False
2022-01-17;5;75;25;11;32;False
2022-01-18;3;70;35;0;29;False
2022-01-19;0;67;26;3;36;False
2022-01-20;4;61;29;8;26;False
2022-01-21;3;68;38;0;19;False
2022-01-22;3;78;37;0;26;False
2022-01-23;2;88;42;3;34;False
2022-01-24;4;93;38;0;48;False
2022-01-25;3;77;36;2;24;False
2022-01-26;9;81;32;4;31;False
2022-01-27;4;79;36;0;35;False
2022-01-28;3;100;31;3;24;False
2022-01-29;4;97;35;0;29;False
2022-01-30;4;73;29;0;35;False
2022-01-31;5;76;31;4;40;False
