date;nusrat ghani;celine dion;sean lock;the queens;air travel;isPartial
2022-01-01;0;18;14;46;6;False
2022-01-02;0;16;8;40;12;False
2022-01-03;0;11;9;57;12;False
2022-01-04;0;10;10;39;12;False
2022-01-05;2;14;8;33;16;False
2022-01-06;4;17;7;37;13;False
2022-01-07;2;21;11;38;14;False
2022-01-08;0;18;10;43;13;False
2022-01-09;2;22;11;40;10;False
2022-01-10;0;10;4;72;17;False
2022-01-11;1;13;6;40;14;False
2022-01-12;0;4;5;41;16;False
2022-01-13;0;15;4;43;16;False
2022-01-14;2;12;10;45;17;False
2022-01-15;0;75;7;53;14;False
2022-01-16;0;89;7;55;16;False
2022-01-17;0;26;3;40;11;False
2022-01-18;0;21;5;38;12;False
2022-01-19;0;15;5;35;16;False
2022-01-20;0;13;3;32;7;False
2022-01-21;0;37;7;38;5;False
2022-01-22;16;32;7;40;13;False
2022-01-23;100;18;5;35;15;False
2022-01-24;50;18;3;41;16;False
2022-01-25;5;11;3;28;10;False
2022-01-26;4;18;8;26;13;False
2022-01-27;0;18;7;35;10;False
2022-01-28;1;21;8;37;9;False
2022-01-29;0;30;10;38;10;False
2022-01-30;2;19;5;47;13;False
2022-01-31;0;11;30;42;17;False
